,x,y,z,ch_edaphic_eivdescombes_pixel_d,ch_edaphic_eivdescombes_pixel_f,ch_edaphic_eivdescombes_pixel_h,ch_edaphic_eivdescombes_pixel_k,ch_edaphic_eivdescombes_pixel_l,ch_edaphic_eivdescombes_pixel_n,ch_edaphic_eivdescombes_pixel_r,ch_edaphic_eivdescombes_pixel_w,meanEVI_annualmax_2017_2021,meanEVI_annualmean_2017_2021,meanEVI_annualmedian_2017_2021,meanEVI_annualmin_2017_2021,meanEVI_annualrange_2017_2021,meanEVI_annualstd_2017_2021,meanGCI_annualmax_2017_2021,meanGCI_annualmean_2017_2021,meanGCI_annualmedian_2017_2021,meanGCI_annualmin_2017_2021,meanGCI_annualrange_2017_2021,meanGCI_annualstd_2017_2021,gdd0Y_8110_LV95,gdd3Y_8110_LV95,gdd5Y_8110_LV95,AI_8110_LV95,bio1_t_8110_LV95,bio2_tdr_8110_LV95,bio3_tiso_8110_LV95,bio4_ts_8110_LV95,bio5_tmaxw_8110_LV95,bio6_tminc_8110_LV95,bio7_tar_8110_LV95,bio8_twetq_8110_LV95,bio9_tdryq_8110_LV95,bio10_twarmq_8110_LV95,bio11_tcoldq_8110_LV95,bio12_p_8110_LV95,bio13_pwet_8110_LV95,bio14_pdry_8110_LV95,bio15_ps_8110_LV95,bio16_pwetq_8110_LV95,bio17_pdryq_8110_LV95,bio18_pwarmq_8110_LV95,bio19_pcoldq_8110_LV95,etpY_8110_LV95,east_mean,eastSlope_mean,north_mean,northSlope_mean,roughness_mean,slope_mean,TPI_mean,TRI_mean,CanopyVaud2m_max,CanopyVaud2m_mean,CanopyVaud2m_median,CanopyVaud2m_min,CanopyVaud2m_sd,EauxStagnantes_prop,ForetBuissannante_prop,ForetClairsemee_prop,ForetDense_prop,Glacier_prop,RocheMeubler_prop,Rocks_Min80Per_prop,ZHumide_prop,sradY,SCD15_final,SCD40_final
1,2575013.331,1122111.533,1470.89245605469,2.11813235282898,3.16339921951294,3.63373565673828,2.81818532943726,3.02904057502747,2.85392332077026,6.14084577560425,1.80442142486572,242221992,11490000,-70000,-168415008,439942496,78635000,77625000,19412500,7210000,-41455000,119077504,32322500,2396.60009765625,1625.59997558594,1200,15,5.90000009536743,8.30000019073486,34.2000007629395,598.5,19.3999996185303,-5,24.3999996185303,13.3000001907349,1.29999995231628,13.3000001907349,-1.10000002384186,1642.5,170,114.599998474121,14.3999996185303,496,360.700012207031,496,375.5,261.700012207031,0.0401385203003883,0.0208967830985785,0.976247668266296,0.632427334785461,2.22328019142151,40.4228057861328,0.211246490478516,0.72999233007431,6.787353515625,6.44973754882812,6.403076171875,6.0704345703125,0.364837467670441,0,0.990000009536743,0,0.00999999977648258,0,0,0,0,48247.6484375,117,121
2,2575603.710,1122200.787,1481.18505859375,2.83821320533752,2.97826480865479,2.88262057304382,3.08464312553406,3.66715264320374,2.5125527381897,6.63577079772949,1.70284569263458,78990000,-9722500,345000,-170064992,265000000,56275000,68877504,3562500,-2420000,-21682500,90560000,18652500,2364.80004882812,1599,1177,13,5.69999980926514,8.39999961853027,34.2999992370605,597.299987792969,19.2999992370605,-5.19999980926514,24.5,13.1999998092651,1.20000004768372,13.1999998092651,-1.20000004768372,1753.59997558594,181.600006103516,123.5,14.3000001907349,529.400024414062,384.100006103516,529.400024414062,403.899993896484,266.399993896484,0.0812419652938843,0.0419667288661003,0.995990395545959,0.519449591636658,1.247802734375,31.4458026885986,0.0447006225585938,0.439027577638626,0,0,0,0,0,0,0,0,0,0,1,0,0,44002.46875,50,139
3,2575800.868,1122501.846,1498.09497070312,2.53454613685608,2.88424181938171,3.13913249969482,3.14850306510925,3.61661958694458,2.58607196807861,6.46452331542969,1.72675693035126,363251992,27042500,627500,-137424992,561080000,116507500,83310000,5832500,-1960000,-36747500,120057504,25855000,2259.5,1511.40002441406,1101.59997558594,16,5.40000009536743,8.19999980926514,34.0999984741211,592.099975585938,18.7000007629395,-5.40000009536743,24.2000007629395,12.8000001907349,0.800000011920929,12.8000001907349,-1.39999997615814,1767.59997558594,182.899993896484,125.199996948242,14.3000001907349,533.5,386.399993896484,533.5,409.5,309,-0.742066740989685,-0.422144383192062,0.668281078338623,0.382229298353195,1.65778267383575,34.8136520385742,-0.0409393310546875,0.451665252447128,0,0,0,0,0,0,0,0,0,0,0,0.620000004768372,0,53391.421875,101,115
4,2575963.438,1123411.023,1590.455078125,2.52969479560852,2.57316136360168,3.07878422737122,3.36318731307983,3.63783049583435,2.58917236328125,6.5709981918335,1.64741635322571,62597998,12822500,14217500,-8720000,80185000,16872500,66827500,25070000,27017500,-8502500,75332496,26145000,2301.60009765625,1546.80004882812,1132.09997558594,22,5.59999990463257,8.30000019073486,34.2999992370605,594.799987792969,19.1000003814697,-5.30000019073486,24.3999996185303,13,1.10000002384186,13,-1.29999995231628,1792.59997558594,184.600006103516,128.699996948242,14.1000003814697,539.299987792969,391.100006103516,539.299987792969,421.700012207031,416.899993896484,0.123173981904984,0.0520250201225281,-0.990054965019226,-0.438240319490433,1.05442976951599,26.2844104766846,0.0550079345703125,0.36735874414444,0.5400390625,0.324676513671875,0.27178955078125,0.120849609375,0.191093772649765,0,0,0,0,0,0,0,0,80884.390625,99,95
5,2576600.944,1123898.400,1769.142578125,2.56109595298767,2.73213839530945,3.12462592124939,3.25552678108215,3.72469973564148,2.53485870361328,6.39560317993164,1.65825319290161,53130000,11650000,12920000,-22022500,76935000,15695000,74192496,26022500,23912500,-5742500,79937504,26575000,2032.19995117188,1324.80004882812,942.700012207031,19,4.69999980926514,7.90000009536743,33.5,583.200012207031,17.7000007629395,-6,23.7000007629395,11.8999996185303,0.100000001490116,11.8999996185303,-2.09999990463257,1879.59997558594,192.699996948242,131.800003051758,14.1000003814697,564.599975585938,407.899993896484,564.599975585938,449.5,373.700012207031,-0.821689009666443,-0.278262585401535,-0.568737030029297,-0.192479833960533,1.03000211715698,19.7944526672363,0.0118789672851562,0.277501434087753,0.2735595703125,0.197998046875,0.170166015625,0.1431884765625,0.0551067814230919,0,0,0,0,0,0,0,0,79028.515625,125,124
6,2576974.467,1123426.271,1790.12744140625,2.53462862968445,3.04253792762756,3.13885140419006,3.02890992164612,3.73127889633179,2.53818273544312,6.39137554168701,1.7335638999939,41780000,2385000,1112500,-54310000,100355000,24295000,89965000,5730000,-2552500,-91570000,181532496,41545000,1995.19995117188,1293.80004882812,916.099975585938,14,4.5,7.80000019073486,33.2999992370605,580.099975585938,17.3999996185303,-6,23.3999996185303,11.6999998092651,0,11.6999998092651,-2.09999990463257,1979.40002441406,203.600006103516,138.300003051758,14.3999996185303,596.799987792969,427.5,596.799987792969,472.399993896484,289.700012207031,0.908769249916077,0.363284111022949,-0.406488656997681,-0.16258493065834,1.13222932815552,23.5833129882812,-2.288818359375E-05,0.347776621580124,0,0,0,0,0,0,0,0,0,0,0,0.0799999982118607,0,60298.25,158,158
7,2577188.340,1123302.417,1937.01000976562,3.00952553749084,3.07625198364258,2.88659572601318,2.94333267211914,3.98274183273315,2.34393000602722,6.493812084198,1.59230577945709,67136001,3772500,1132500,-11447500,61837500,13915000,54625000,2367500,-2717500,-5380000,60005000,13772500,1755.09997558594,1101.90002441406,757,11,3.5,7.40000009536743,32.5,571.099975585938,16.1000003814697,-6.69999980926514,22.7999992370605,10.6000003814697,-1,10.6000003814697,-2.90000009536743,2039.09997558594,210.100006103516,141.800003051758,14.5,615.900024414062,439.200012207031,615.900024414062,487.200012207031,263.299987792969,-0.814274609088898,-0.459082186222076,0.579568982124329,0.326539099216461,1.88669157028198,34.3111724853516,0.0228080749511719,0.522087931632996,0,0,0,0,0,0,0,0,0,0,0.800000011920929,0,0,52947.125,161,168
8,2576497.108,1123185.857,1771.00500488281,2.33456873893738,2.91264176368713,3.34172582626343,3.08838367462158,3.64215183258057,2.64061999320984,6.13158655166626,1.76062679290771,141967998,16725000,12132500,-29880000,198884992,40340000,74147504,24377500,16052500,-7170000,81322496,29837500,1992.90002441406,1292.90002441406,915.599975585938,17,4.5,7.80000019073486,33.2999992370605,583.299987792969,17.5,-6.09999990463257,23.6000003814697,11.6999998092651,0,11.6999998092651,-2.20000004768372,1902.5,196.199996948242,135,14.3000001907349,573.799987792969,412.799987792969,573.799987792969,449.700012207031,353.5,-0.981760203838348,-0.340288281440735,0.179906234145164,0.0636806488037109,0.942220032215118,20.2982292175293,0.032806396484375,0.303751617670059,0.333984375,0.19378662109375,0.215576171875,0.010009765625,0.134869873523712,0,0,0,0,0,0,0,0,71906.2890625,123,118
9,2576145.056,1122861.826,1633.63745117188,2.36322498321533,3.01391267776489,3.21179032325745,3.04453110694885,3.55751156806946,2.8149254322052,6.37569618225098,1.77998542785645,32338000,-14275000,4257500,-518487488,551529984,109332500,69640000,-12347500,3022500,-725617472,795262528,164867504,2035.5,1327.5,944.900024414062,15,4.5,7.80000019073486,33.2999992370605,583.599975585938,17.6000003814697,-6,23.6000003814697,11.8000001907349,0,11.8000001907349,-2.09999990463257,1842.59997558594,190.399993896484,132,14.3000001907349,556,401.200012207031,556,431.399993896484,303.200012207031,-0.780656337738037,-0.406114935874939,0.611354351043701,0.310193032026291,1.34890413284302,31.1055374145508,0.0899810791015625,0.400841593742371,0.0797119140625,0.03265380859375,0.02545166015625,0,0.0394970551133156,0,0,0,0,0,0,0,0,62852.35546875,135,129
10,2576073.823,1122944.335,1595.67504882812,2.3584463596344,3.00743961334229,3.22743391990662,3.07161450386047,3.58421659469604,2.78007340431213,6.34476613998413,1.78366792201996,59056001,-34162500,10985000,-1090620032,1158070016,230125000,70292496,24502500,21880000,-28877500,99170000,32280000,2133.60009765625,1407.80004882812,1013,18,4.90000009536743,8,33.7999992370605,588.099975585938,18.1000003814697,-5.69999980926514,23.8999996185303,12.3000001907349,0.300000011920929,12.3000001907349,-1.79999995231628,1824.09997558594,188.300003051758,130.699996948242,14.1999998092651,550,397.600006103516,550,427,362.5,-0.664504587650299,-0.0280917901545763,0.680712103843689,0.0268454868346453,0.156684026122093,2.35486483573914,-0.00688934326171875,0.0559878870844841,0.1546630859375,0.038665771484375,0,0,0.07733154296875,0,0,0,0,0,0,0,0,68845.921875,126,120
